id	subject	predicate	object	category	relation	provided_by	source
uuid:51828530-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:67113	biolink:Association			usda_acup
uuid:51829782-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:6835	biolink:Association			usda_acup
uuid:5182aa88-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:6910	biolink:Association			usda_acup
uuid:5182bb36-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:70721	biolink:Association			usda_acup
uuid:5182cfe0-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:73163	biolink:Association			usda_acup
uuid:5182e12e-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:73178	biolink:Association			usda_acup
uuid:5182f1e6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:73244	biolink:Association			usda_acup
uuid:5183028a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:75281	biolink:Association			usda_acup
uuid:51831720-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:77417	biolink:Association			usda_acup
uuid:5183283c-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:78780	biolink:Association			usda_acup
uuid:51833944-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:79736	biolink:Association			usda_acup
uuid:51834a6a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81419	biolink:Association			usda_acup
uuid:51835b2c-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81539	biolink:Association			usda_acup
uuid:51836c2a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81737	biolink:Association			usda_acup
uuid:51837cce-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81750	biolink:Association			usda_acup
uuid:51838dfe-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81753	biolink:Association			usda_acup
uuid:51839ef2-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81760	biolink:Association			usda_acup
uuid:5183b018-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81762	biolink:Association			usda_acup
uuid:5183c1fc-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81777	biolink:Association			usda_acup
uuid:5183d868-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81781	biolink:Association			usda_acup
uuid:5183ea06-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81784	biolink:Association			usda_acup
uuid:5183fb22-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81796	biolink:Association			usda_acup
uuid:518414fe-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81798	biolink:Association			usda_acup
uuid:51842ce6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81814	biolink:Association			usda_acup
uuid:51843fd8-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81815	biolink:Association			usda_acup
uuid:51845a36-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81822	biolink:Association			usda_acup
uuid:51846ea4-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81828	biolink:Association			usda_acup
uuid:5184806a-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81833	biolink:Association			usda_acup
uuid:51849208-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81841	biolink:Association			usda_acup
uuid:5184a388-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81843	biolink:Association			usda_acup
uuid:5184b508-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81884	biolink:Association			usda_acup
uuid:5184c692-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81896	biolink:Association			usda_acup
uuid:5184d7ea-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81907	biolink:Association			usda_acup
uuid:5184e960-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81923	biolink:Association			usda_acup
uuid:5184fac2-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:81975	biolink:Association			usda_acup
uuid:51850c38-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:82029	biolink:Association			usda_acup
uuid:51851de0-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:82032	biolink:Association			usda_acup
uuid:51852eb6-727e-11ed-a110-acde48001122	FOODON:00002473	biolink:associated_with	CHEBI:82041	biolink:Association			usda_acup
