document_id	matched_term	object_label	object_id
1304	tfa	trifluoroacetate	CHEBI:27110
1304	t	ribothymidine	CHEBI:45996
1304	t	top quark	CHEBI:36371
1304	t	triton	CHEBI:29234
1305	tfa	trifluoroacetic acid	CHEBI:45892
1305	tfa	trifluoroacetate	CHEBI:27110
1305	22:1	docosenoic acid	CHEBI:36031
1305	t	ribothymidine	CHEBI:45996
1305	t	top quark	CHEBI:36371
1305	t	triton	CHEBI:29234
1306	tfa	trifluoroacetic acid	CHEBI:45892
1306	tfa	trifluoroacetate	CHEBI:27110
1306	18:2	laballenic acid	CHEBI:24993
1306	18:2	octadecadienoic acid	CHEBI:25627
1306	t	ribothymidine	CHEBI:45996
1306	t	top quark	CHEBI:36371
1306	t	triton	CHEBI:29234
1311	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1311	pufa	polyunsaturated fatty acid	CHEBI:26208
1311	18:2	laballenic acid	CHEBI:24993
1311	18:2	octadecadienoic acid	CHEBI:25627
1311	clas	conjugated linoleic acid	CHEBI:61159
1312	mufa	monounsaturated fatty acid	CHEBI:25413
1312	24:1	tetracosenoic acid	CHEBI:36032
1312	c	charm quark	CHEBI:36369
1313	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1313	pufa	polyunsaturated fatty acid	CHEBI:26208
1313	20:2	icosadienoic acid	CHEBI:72850
1313	n	neutron	CHEBI:30222
1313	c	charm quark	CHEBI:36369
1314	mufa	monounsaturated fatty acid	CHEBI:25413
1314	16:1	hexadecenoic acid	CHEBI:24548
1314	c	charm quark	CHEBI:36369
1315	mufa	monounsaturated fatty acid	CHEBI:25413
1315	c	charm quark	CHEBI:36369
1316	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1316	pufa	polyunsaturated fatty acid	CHEBI:26208
1316	18:2	laballenic acid	CHEBI:24993
1316	18:2	octadecadienoic acid	CHEBI:25627
1316	n	neutron	CHEBI:30222
1316	c	charm quark	CHEBI:36369
1317	mufa	monounsaturated fatty acid	CHEBI:25413
1317	22:1	docosenoic acid	CHEBI:36031
1317	c	charm quark	CHEBI:36369
1321	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1321	pufa	polyunsaturated fatty acid	CHEBI:26208
1321	18:3	conjugated linolenic acid	CHEBI:61160
1321	18:3	octadecatrienoic acid	CHEBI:25633
1321	n	neutron	CHEBI:30222
1321	c	charm quark	CHEBI:36369
1323	mufa	monounsaturated fatty acid	CHEBI:25413
1323	17:1	heptadecenoic acid	CHEBI:36001
1325	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1325	pufa	polyunsaturated fatty acid	CHEBI:26208
1325	20:3	fatty acid 20:3	CHEBI:36036
1329	acids	acid	CHEBI:37527
1329	fatty acids	fatty acid	CHEBI:35366
1330	acids	acid	CHEBI:37527
1330	fatty acids	fatty acid	CHEBI:35366
1331	acids	acid	CHEBI:37527
1331	fatty acids	fatty acid	CHEBI:35366
1333	mufa	monounsaturated fatty acid	CHEBI:25413
1333	15:1	pentadecenoic acid	CHEBI:75088
1334	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1334	pufa	polyunsaturated fatty acid	CHEBI:26208
1334	22:2	docosadienoic acid	CHEBI:75115
1335	sfa	saturated fatty acid	CHEBI:26607
1404	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1404	pufa	polyunsaturated fatty acid	CHEBI:26208
1404	18:3	conjugated linolenic acid	CHEBI:61160
1404	18:3	octadecatrienoic acid	CHEBI:25633
1404	n	neutron	CHEBI:30222
1404	c	charm quark	CHEBI:36369
1404	ala	ala-leu-ala	CHEBI:158283
1404	ala	alanine	CHEBI:16449
1404	ala	alpha-linolenic acid	CHEBI:27432
1404	ala	l-alanine residue	CHEBI:46217
1404	ala	l-alanine	CHEBI:16977
1405	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1405	pufa	polyunsaturated fatty acid	CHEBI:26208
1405	20:3	fatty acid 20:3	CHEBI:36036
1405	n	neutron	CHEBI:30222
1406	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1406	pufa	polyunsaturated fatty acid	CHEBI:26208
1406	20:3	fatty acid 20:3	CHEBI:36036
1406	n	neutron	CHEBI:30222
1409	pufa	polyunsaturated fatty acid anion	CHEBI:76567
1409	pufa	polyunsaturated fatty acid	CHEBI:26208
1409	18:3	conjugated linolenic acid	CHEBI:61160
1409	18:3	octadecatrienoic acid	CHEBI:25633
1409	i	inosine	CHEBI:17596
1411	pufa	polyunsaturated fatty acid anion	CHEBI:76567
